id;name;objective;delay;resources;version
1;contextually-based Alaska Fresh;Table Micronesia;Center;payment utilize Account;Regional
2;technologies Soft Senior;Assistant Bike;Guadeloupe digital;Malagasy Alley Practical;solution
3;Supervisor index Diverse;Brand copying;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial
4;magenta;Assurance systemic;International open-source;Jewelery application users;back-end
5;program;input;actuating Corporate quantifying;digital parsing;Berkshire Vision-oriented empowering
6;Small Pakistan Directives;bluetooth Borders;Metrics;Computer digital matrix;Metal matrix back-end
7;Cross-group compelling;Cote;supply-chains;South;teal e-services
8;International networks;Architect Metal;mission-critical connect JBOD;exploit;Arabia withdrawal
9;black disintermediate;Buckinghamshire;Handmade bypassing;Borders;Handmade Swiss
10;Architect;withdrawal;Fords Afghanistan Philippines;programming Technician Organized;initiatives
