id;name;description;priority;state
1;withdrawal Avon rich;payment matrices payment;URGENT;EN_PAUSE
2;Baby withdrawal Rubber;back-end;MOYEN;TERMINE
3;calculating PNG;Designer Pakistan Licensed;BAS;EN_COURS
4;Fresh Clothing copying;Bacon Health calculating;URGENT;EN_COURS
5;Tasty Handmade Orchestrator;Intelligent programming;BAS;TERMINE
6;Western multi-tasking;input;BAS;EN_PAUSE
7;green Cedi Legacy;withdrawal Concrete Florida;MOYEN;EN_PAUSE
8;Refined compressing;Marino;MOYEN;A_FAIRE
9;deposit Consultant;Shirt purple Reduced;BAS;EN_COURS
10;Toys;card collaboration to;BAS;TERMINE
